Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
115;Tb;Terbio;Óxido ;;Terboso;Óxido Terboso;65;3;6;Metal;Lantánidos;Sólido;3,4;2;115;1;3;III;Óxido de ;Óxido de Terbio (III)
116;Tb;Terbio;Óxido ;;Térbico;Óxido Térbico;65;3;6;Metal;Lantánidos;Sólido;3,4;2;116;2;4;IV;Óxido de ;Óxido de Terbio (IV)
117;Dy;Disprosio;Óxido ;;de Disprosio;Óxido de Disprosio;66;3;6;Metal;Lantánidos;Sólido;3;1;117;1;3;III;Óxido de ;Óxido de Disprosio (III)
118;Ho;Holmio;Óxido ;;de Holmio;Óxido de Holmio;67;3;6;Metal;Lantánidos;Sólido;3;1;118;1;3;III;Óxido de ;Óxido de Holmio (III)
119;Er;Erbio;Óxido ;;de Erbio;Óxido de Erbio;68;3;6;Metal;Lantánidos;Sólido;3;1;119;1;3;III;Óxido de ;Óxido de Erbio (III)
120;Tm;Tulio;Óxido ;;Tuloso;Óxido Tuloso;69;3;6;Metal;Lantánidos;Sólido;3,2;2;120;2;3;III;Óxido de ;Óxido de Tulio (III)
121;Tm;Tulio;Óxido ;;Túlico;Óxido Túlico;69;3;6;Metal;Lantánidos;Sólido;3,2;2;121;1;2;II;Óxido de ;Óxido de Tulio (II)
122;Yb;Iterbio;Óxido ;;Iterboso;Óxido Iterboso;70;3;6;Metal;Lantánidos;Sólido;2,3;2;122;1;2;II;Óxido de ;Óxido de Iterbio (II)
123;Yb;Iterbio;Óxido ;;Itérbico;Óxido Itérbico;70;3;6;Metal;Lantánidos;Sólido;2,3;2;123;2;3;III;Óxido de ;Óxido de Iterbio (III)
124;Lu;Lutecio;Óxido ;;de Lutecio;Óxido de Lutecio;71;3;6;Metal;Lantánidos;Sólido;3;1;124;1;3;III;Óxido de ;Óxido de Lutecio (III)
125;Hf;Hafnio;Óxido ;;de Hafnio;Óxido de Hafnio;72;4;6;Metal;Lantánidos;Sólido;4;1;125;1;4;IV;Óxido de ;Óxido de Hafnio (IV)
126;Ta;Tantalio;Óxido ;;de Tantalio;Óxido de Tantalio;73;5;6;Metal;Lantánidos;Sólido;5;1;126;1;5;V;Óxido de ;Óxido de Tantalio (V)
127;W;Tungsteno;Óxido ;Hipo;Tungstoso;Óxido HipoTungstoso;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;127;1;2;II;Óxido de ;Óxido de Tungsteno (II)
128;W;Tungsteno;Óxido ;;Tungstoso;Óxido Tungstoso;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;128;2;3;III;Óxido de ;Óxido de Tungsteno (III)
129;W;Tungsteno;Óxido ;;Tungsténico;Óxido Tungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;129;3;4;IV;Óxido de ;Óxido de Tungsteno (IV)
130;W;Tungsteno;Óxido ;Per;Tungsténico;Óxido PerTungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;130;4;5;V;Óxido de ;Óxido de Tungsteno (V)
131;W;Tungsteno;Óxido ;Super;Tungsténico;Óxido SuperTungsténico;74;6;6;Metal;Lantánidos;Sólido;2,3,4,5,6;5;131;5;6;VI;Óxido de ;Óxido de Tungsteno (VI)
132;Re;Renio;Óxido ;Hipo;Renoso;Óxido HipoRenoso;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;132;1;1;I;Óxido de ;Óxido de Renio (I)
133;Re;Renio;Óxido ;;Renoso;Óxido Renoso;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;133;2;2;II;Óxido de ;Óxido de Renio (II)
134;Re;Renio;Óxido ;;Renico;Óxido Renico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;134;3;4;IV;Óxido de ;Óxido de Renio (IV)
135;Re;Renio;Óxido ;Per;Renico;Óxido PerRenico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;135;4;6;VI;Óxido de ;Óxido de Renio (VI)
136;Re;Renio;Óxido ;Super;Renico;Óxido SuperRenico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;136;5;7;VII;Óxido de ;Óxido de Renio (VII)
137;Os;Osmio;Óxido ;Hipo;Osmoso;Óxido HipoOsmoso;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;137;1;2;II;Óxido de ;Óxido de Osmio (II)
138;Os;Osmio;Óxido ;;Osmoso;Óxido Osmoso;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;138;2;3;III;Óxido de ;Óxido de Osmio (III)
139;Os;Osmio;Óxido ;;Ósmico;Óxido Ósmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;139;3;4;IV;Óxido de ;Óxido de Osmio (IV)
140;Os;Osmio;Óxido ;Per;Ósmico;Óxido PerÓsmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;140;4;6;VI;Óxido de ;Óxido de Osmio (VI)
141;Os;Osmio;Óxido ;Super;Ósmico;Óxido SuperÓsmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;141;5;8;VIII;Óxido de ;Óxido de Osmio (VIII)
142;Ir;Iridio;Óxido ;Hipo;Iridoso;Óxido HipoIridoso;77;9;6;Metal;Lantánidos;Sólido;2,3,4,6;4;142;1;2;II;Óxido de ;Óxido de Iridio (II)
143;Ir;Iridio;Óxido ;;Iridoso;Óxido Iridoso;77;9;6;Metal;Lantánidos;Sólido;2,3,4,6;4;143;2;3;III;Óxido de ;Óxido de Iridio (III)
144;Ir;Iridio;Óxido ;;Irídico;Óxido Irídico;77;9;6;Metal;Lantánidos;Sólido;2,3,4,6;4;144;3;4;IV;Óxido de ;Óxido de Iridio (IV)
145;Ir;Iridio;Óxido ;Per;Irídico;Óxido PerIrídico;77;9;6;Metal;Lantánidos;Sólido;2,3,4,6;4;145;4;6;VI;Óxido de ;Óxido de Iridio (VI)
146;Pt;Platino;Óxido ;;Platinoso;Óxido Platinoso;78;10;6;Metal;Lantánidos;Sólido;2,4;2;146;1;2;II;Óxido de ;Óxido de Platino (II)
147;Pt;Platino;Óxido ;;Platínico;Óxido Platínico;78;10;6;Metal;Lantánidos;Sólido;2,4;2;147;2;4;IV;Óxido de ;Óxido de Platino (IV)
148;Au;Oro;Óxido ;;Auroso;Óxido Auroso;79;11;6;Metal;Lantánidos;Sólido;1,3;2;148;1;1;I;Óxido de ;Óxido de Oro (I)
149;Au;Oro;Óxido ;;Áurico;Óxido Áurico;79;11;6;Metal;Lantánidos;Sólido;1,3;2;149;2;3;III;Óxido de ;Óxido de Oro (III)
150;Hg;Mercurio;Óxido ;;Mercuroso;Óxido Mercuroso;80;12;6;Metal;Lantánidos;Líquido;1,2;2;150;1;1;I;Óxido de ;Óxido de Mercurio (I)
151;Hg;Mercurio;Óxido ;;Mercúrico;Óxido Mercúrico;80;12;6;Metal;Lantánidos;Líquido;1,2;2;151;2;2;II;Óxido de ;Óxido de Mercurio (II)
152;Tl;Talio;Óxido ;;Taloso;Óxido Taloso;81;13;6;Metal;Lantánidos;Sólido;1,3;2;152;1;1;I;Óxido de ;Óxido de Talio (I)
153;Tl;Talio;Óxido ;;Tálico;Óxido Tálico;81;13;6;Metal;Lantánidos;Sólido;1,3;2;153;2;3;III;Óxido de ;Óxido de Talio (III)
154;Pb;Plomo;Óxido ;;Plomboso;Óxido Plomboso;82;14;6;Metal;Lantánidos;Sólido;2,4;2;154;1;2;II;Óxido de ;Óxido de Plomo (II)
155;Pb;Plomo;Óxido ;;Plúmbico;Óxido Plúmbico;82;14;6;Metal;Lantánidos;Sólido;2,4;2;155;2;4;IV;Óxido de ;Óxido de Plomo (IV)
156;Bi;Bismuto;Óxido ;;Bismutoso;Óxido Bismutoso;83;15;6;Metal;Lantánidos;Sólido;3,5;2;156;1;3;III;Óxido de ;Óxido de Bismuto (III)
157;Bi;Bismuto;Óxido ;;Bismútico;Óxido Bismútico;83;15;6;Metal;Lantánidos;Sólido;3,5;2;157;2;5;V;Óxido de ;Óxido de Bismuto (V)
158;Po;Polonio;Óxido ;;Polonoso;Óxido Polonoso;84;16;6;Metaloide;-;Sólido;2,4;2;158;1;2;II;Óxido de ;Óxido de Polonio (II)
159;Po;Polonio;Óxido ;;Polónico;Óxido Polónico;84;16;6;Metaloide;-;Sólido;2,4;2;159;2;4;IV;Óxido de ;Óxido de Polonio (IV)
160;At;Aestado;Óxido ;Hipo;Aestoso;Óxido HipoAestoso;85;17;6;No Metal;Halógenos;Sólido;1,3,5,7;4;160;1;1;I;Óxido de ;Óxido de Aestado (I)
161;At;Aestado;Óxido ;;Aestoso;Óxido Aestoso;85;17;6;No Metal;Halógenos;Sólido;1,3,5,7;4;161;2;3;III;Óxido de ;Óxido de Aestado (III)
162;At;Aestado;Óxido ;;Aestédico;Óxido Aestédico;85;17;6;No Metal;Halógenos;Sólido;1,3,5,7;4;162;3;5;V;Óxido de ;Óxido de Aestado (V)
163;At;Aestado;Óxido ;Per;Aestédico;Óxido PerAestédico;85;17;6;No Metal;Halógenos;Sólido;1,3,5,7;4;163;4;7;VII;Óxido de ;Óxido de Aestado (VII)
164;Rn;Radón;----;----;----;----;86;18;6;Gas Noble;-;Gas;0;1;164;1;0;----;----;----
165;Fr;Francisco;Óxido ;;de Francisco;Óxido de Francisco;87;1;7;Metal;Alcalino;Líquido;1;1;165;1;1;I;Óxido de ;Óxido de Francisco (I)
166;Ra;Radio;Óxido ;;de Radio;Óxido de Radio;88;2;7;Metal;Tierras alcalinas;Sólido;2;1;166;1;2;II;Óxido de ;Óxido de Radio (II)
167;Ac;Actinio;Óxido ;;de Actinio;Óxido de Actinio;89;3;7;Metal;Actínidos;Sólido;3;1;167;1;3;III;Óxido de ;Óxido de Actinio (III)
168;Th;Torio;Óxido ;;de Torio;Óxido de Torio;90;3;7;Metal;Actínidos;Sólido;4;1;168;1;4;IV;Óxido de ;Óxido de Torio (IV)
169;Pa;Protactinio;Óxido ;;Protactinoso;Óxido Protactinoso;91;3;7;Metal;Actínidos;Sólido;4,5;2;169;1;4;IV;Óxido de ;Óxido de Protactinio (IV)
170;Pa;Protactinio;Óxido ;;Protactínico;Óxido Protactínico;91;3;7;Metal;Actínidos;Sólido;4,5;2;170;2;5;V;Óxido de ;Óxido de Protactinio (V)
171;U;Uranio;Óxido ;Hipo;Uranoso;Óxido HipoUranoso;92;3;7;Metal;Actínidos;Sólido;3,4,5,6;4;171;1;3;III;Óxido de ;Óxido de Uranio (III)
172;U;Uranio;Óxido ;;Uranoso;Óxido Uranoso;92;3;7;Metal;Actínidos;Sólido;3,4,5,6;4;172;2;4;IV;Óxido de ;Óxido de Uranio (IV)
173;U;Uranio;Óxido ;;Uránico;Óxido Uránico;92;3;7;Metal;Actínidos;Sólido;3,4,5,6;4;173;3;5;V;Óxido de ;Óxido de Uranio (V)
174;U;Uranio;Óxido ;Per;Uránico;Óxido PerUránico;92;3;7;Metal;Actínidos;Sólido;3,4,5,6;4;174;4;6;VI;Óxido de ;Óxido de Uranio (VI)
175;Np;Neptunio;Óxido ;Hipo;Neptunoso;Óxido HipoNeptunoso;93;3;7;Metal;Actínidos;???;3,4,5,6;4;175;1;3;III;Óxido de ;Óxido de Neptunio (III)
176;Np;Neptunio;Óxido ;;Neptunoso;Óxido Neptunoso;93;3;7;Metal;Actínidos;???;3,4,5,6;4;176;2;4;IV;Óxido de ;Óxido de Neptunio (IV)
177;Np;Neptunio;Óxido ;;Neptúnico;Óxido Neptúnico;93;3;7;Metal;Actínidos;???;3,4,5,6;4;177;3;5;V;Óxido de ;Óxido de Neptunio (V)
178;Np;Neptunio;Óxido ;Per;Neptúnico;Óxido PerNeptúnico;93;3;7;Metal;Actínidos;???;3,4,5,6;4;178;4;6;VI;Óxido de ;Óxido de Neptunio (VI)
179;Pu;Plutonio;Óxido ;Hipo;Plutonoso;Óxido HipoPlutonoso;94;3;7;Metal;Actínidos;???;3,4,5,6;4;179;1;3;III;Óxido de ;Óxido de Plutonio (III)
180;Pu;Plutonio;Óxido ;;Plutonoso;Óxido Plutonoso;94;3;7;Metal;Actínidos;???;3,4,5,6;4;180;2;4;IV;Óxido de ;Óxido de Plutonio (IV)
181;Pu;Plutonio;Óxido ;;Plutónico;Óxido Plutónico;94;3;7;Metal;Actínidos;???;3,4,5,6;4;181;3;5;V;Óxido de ;Óxido de Plutonio (V)
182;Pu;Plutonio;Óxido ;Per;Plutónico;Óxido PerPlutónico;94;3;7;Metal;Actínidos;???;3,4,5,6;4;182;4;6;VI;Óxido de ;Óxido de Plutonio (VI)
183;Am;Americio;Óxido ;Hipo;Americoso;Óxido HipoAmericoso;95;3;7;Metal;Actínidos;???;3,4,5,6;4;183;1;3;III;Óxido de ;Óxido de Americio (III)
184;Am;Americio;Óxido ;;Americoso;Óxido Americoso;95;3;7;Metal;Actínidos;???;3,4,5,6;4;184;2;4;IV;Óxido de ;Óxido de Americio (IV)
185;Am;Americio;Óxido ;;Américo;Óxido Américo;95;3;7;Metal;Actínidos;???;3,4,5,6;4;185;3;5;V;Óxido de ;Óxido de Americio (V)
186;Am;Americio;Óxido ;Per;Américo;Óxido PerAmérico;95;3;7;Metal;Actínidos;???;3,4,5,6;4;186;4;6;VI;Óxido de ;Óxido de Americio (VI)
187;Cm;Curio;Óxido ;;de Curio;Óxido de Curio;96;3;7;Metal;Actínidos;???;3;1;187;1;3;III;Óxido de ;Óxido de Curio (III)
188;Bk;Berkelio;Óxido ;;Berkeloso;Óxido Berkeloso;97;3;7;Metal;Actínidos;???;3,4;2;188;1;3;III;Óxido de ;Óxido de Berkelio (III)
189;Bk;Berkelio;Óxido ;;Berkélico;Óxido Berkélico;97;3;7;Metal;Actínidos;???;3,4;2;189;2;4;IV;Óxido de ;Óxido de Berkelio (IV)
190;Cf;Californio;Óxido ;;de Californio;Óxido de Californio;98;3;7;Metal;Actínidos;???;3;1;190;1;3;III;Óxido de ;Óxido de Californio (III)
191;Es;Einstenio;Óxido ;;de Einstenio;Óxido de Einstenio;99;3;7;Metal;Actínidos;???;4;1;191;1;4;IV;Óxido de ;Óxido de Einstenio (IV)
192;Fm;Fermio;Óxido ;;de Fermio;Óxido de Fermio;100;3;7;Metal;Actínidos;???;4;1;192;1;4;IV;Óxido de ;Óxido de Fermio (IV)
193;Md;Mendelevio;Óxido ;;Mendelevoso;Óxido Mendelevoso;101;3;7;Metal;Actínidos;???;3,4;2;193;1;3;III;Óxido de ;Óxido de Mendelevio (III)
194;Md;Mendelevio;Óxido ;;Mendelévico;Óxido Mendelévico;101;3;7;Metal;Actínidos;???;3,4;2;194;2;4;IV;Óxido de ;Óxido de Mendelevio (IV)
195;No;Nobel;Óxido ;;Nobeloso;Óxido Nobeloso;102;3;7;Metal;Actínidos;???;3,4;2;195;1;3;III;Óxido de ;Óxido de Nobel (III)
196;No;Nobel;Óxido ;;Nobélico;Óxido Nobélico;102;3;7;Metal;Actínidos;???;3,4;2;196;2;4;IV;Óxido de ;Óxido de Nobel (IV)
197;Lr;Laurencio;Óxido ;;Lauroso;Óxido Lauroso;103;3;7;Metal;Actínidos;???;3,4;2;197;1;3;III;Óxido de ;Óxido de Laurencio (III)
198;Lr;Laurencio;Óxido ;;Láurico;Óxido Láurico;103;3;7;Metal;Actínidos;???;3,4;2;198;2;4;IV;Óxido de ;Óxido de Laurencio (IV)
199;Rf;Rutherfordio;Óxido ;;de Rutherfordio;Óxido de Rutherfordio;104;3;7;Metal;Actínidos;???;4;1;199;1;4;IV;Óxido de ;Óxido de Rutherfordio (IV)
200;Db;Dubnio;Óxido ;;de Dubnio;Óxido de Dubnio;105;3;7;Metal;Actínidos;???;4;1;200;1;4;IV;Óxido de ;Óxido de Dubnio (IV)
201;Sg;Seaborgio;Óxido ;;de Seaborgio;Óxido de Seaborgio;106;3;7;Metal;Actínidos;???;4;1;201;1;4;IV;Óxido de ;Óxido de Seaborgio (IV)
202;Bh;Bohrio;Óxido ;Hipo;Bohroso;Óxido HipoBohroso;107;3;7;Metal;Actínidos;???;3,4,5;3;202;1;3;III;Óxido de ;Óxido de Bohrio (III)
203;Bh;Bohrio;Óxido ;;Bohroso;Óxido Bohroso;107;3;7;Metal;Actínidos;???;3,4,5;3;203;2;4;IV;Óxido de ;Óxido de Bohrio (IV)
204;Bh;Bohrio;Óxido ;;Bohrioico;Óxido Bohrioico;107;3;7;Metal;Actínidos;???;3,4,5;3;204;3;5;V;Óxido de ;Óxido de Bohrio (V)
205;Hs;Hassio;Óxido ;Hipo;Hassoso;Óxido HipoHassoso;108;3;7;Metal;Actínidos;???;2,4,6,7;4;205;1;2;II;Óxido de ;Óxido de Hassio (II)
206;Hs;Hassio;Óxido ;;Hassoso;Óxido Hassoso;108;3;7;Metal;Actínidos;???;2,4,6,7;4;206;2;4;IV;Óxido de ;Óxido de Hassio (IV)
207;Hs;Hassio;Óxido ;;Hassico;Óxido Hassico;108;3;7;Metal;Actínidos;???;2,4,6,7;4;207;3;6;VI;Óxido de ;Óxido de Hassio (VI)
208;Hs;Hassio;Óxido ;Per;Hassico;Óxido PerHassico;108;3;7;Metal;Actínidos;???;2,4,6,7;4;208;4;7;VII;Óxido de ;Óxido de Hassio (VII)
209;Mt;Meitnerio;Óxido ;Hipo;Meitneroso;Óxido HipoMeitneroso;109;3;7;Metal;Actínidos;???;2,3,4,6;4;209;1;2;II;Óxido de ;Óxido de Meitnerio (II)
210;Mt;Meitnerio;Óxido ;;Meitneroso;Óxido Meitneroso;109;3;7;Metal;Actínidos;???;2,3,4,6;4;210;2;3;III;Óxido de ;Óxido de Meitnerio (III)
211;Mt;Meitnerio;Óxido ;;Meitnérico;Óxido Meitnérico;109;3;7;Metal;Actínidos;???;2,3,4,6;4;211;3;4;IV;Óxido de ;Óxido de Meitnerio (IV)
212;Mt;Meitnerio;Óxido ;Per;Meitnérico;Óxido PerMeitnérico;109;3;7;Metal;Actínidos;???;2,3,4,6;4;212;4;6;VI;Óxido de ;Óxido de Meitnerio (VI)
213;Ds;Darmstadtio;Óxido ;;Darmstadtoso;Óxido Darmstadtoso;110;3;7;Metal;Actínidos;???;2,4;2;213;1;2;II;Óxido de ;Óxido de Darmstadtio (II)
214;Ds;Darmstadtio;Óxido ;;Darmstadtico;Óxido Darmstadtico;110;3;7;Metal;Actínidos;???;2,4;2;214;2;4;IV;Óxido de ;Óxido de Darmstadtio (IV)
215;Rg;Roentgenio;Óxido ;;Roentgenoso;Óxido Roentgenoso;111;3;7;Metal;Actínidos;???;2,3;2;215;1;2;II;Óxido de ;Óxido de Roentgenio (II)
216;Rg;Roentgenio;Óxido ;;Roentgénico;Óxido Roentgénico;111;3;7;Metal;Actínidos;???;2,3;2;216;2;3;III;Óxido de ;Óxido de Roentgenio (III)
217;Cn;Copérnico;Óxido ;;Copernicoso;Óxido Copernicoso;112;3;7;Metal;Actínidos;???;1,2;2;217;1;1;I;Óxido de ;Óxido de Copérnico (I)
218;Cn;Copérnico;Óxido ;;Copérnico;Óxido Copérnico;112;3;7;Metal;Actínidos;???;1,2;2;218;2;2;II;Óxido de ;Óxido de Copérnico (II)
219;Nh;Nihonio;Óxido ;;de Nihonio;Óxido de Nihonio;113;3;7;Metal;Actínidos;???;3;1;219;1;3;III;Óxido de ;Óxido de Nihonio (III)
220;Fl;Flerovio;Óxido ;Hipo;Flerovoso;Óxido HipoFlerovoso;114;3;7;Metal;Actínidos;???;2,4,6;3;220;1;2;II;Óxido de ;Óxido de Flerovio (II)
221;Fl;Flerovio;Óxido ;;Flerovoso;Óxido Flerovoso;114;3;7;Metal;Actínidos;???;2,4,6;3;221;2;4;IV;Óxido de ;Óxido de Flerovio (IV)
222;Fl;Flerovio;Óxido ;;Fleróvico;Óxido Fleróvico;114;3;7;Metal;Actínidos;???;2,4,6;3;222;3;6;VI;Óxido de ;Óxido de Flerovio (VI)
223;Mc;Moscovio;Óxido ;Hipo;Moscovioso;Óxido HipoMoscovioso;115;3;7;Metal;Actínidos;???;1,4,5;3;223;1;1;I;Óxido de ;Óxido de Moscovio (I)
224;Mc;Moscovio;Óxido ;;Moscovioso;Óxido Moscovioso;115;3;7;Metal;Actínidos;???;1,4,5;3;224;2;4;IV;Óxido de ;Óxido de Moscovio (IV)
225;Mc;Moscovio;Óxido ;;Moscóvico;Óxido Moscóvico;115;3;7;Metal;Actínidos;???;1,4,5;3;225;3;5;V;Óxido de ;Óxido de Moscovio (V)
226;Lv;Livermorio;Óxido ;Hipo;Livermoroso;Óxido HipoLivermoroso;116;3;7;Metal;Actínidos;???;3,4,5;3;226;1;3;III;Óxido de ;Óxido de Livermorio (III)
227;Lv;Livermorio;Óxido ;;Livermoroso;Óxido Livermoroso;116;3;7;Metal;Actínidos;???;3,4,5;3;227;2;4;IV;Óxido de ;Óxido de Livermorio (IV)
228;Lv;Livermorio;Óxido ;;Livermórico;Óxido Livermórico;116;3;7;Metal;Actínidos;???;3,4,5;3;228;3;5;V;Óxido de ;Óxido de Livermorio (V)
229;Ts;Tenesino;Óxido ;Hipo;Tenesoso;Óxido HipoTenesoso;117;3;7;Metal;Actínidos;???;1,2,3;3;229;1;1;I;Óxido de ;Óxido de Tenesino (I)
230;Ts;Tenesino;Óxido ;;Tenesoso;Óxido Tenesoso;117;3;7;Metal;Actínidos;???;1,2,3;3;230;2;2;II;Óxido de ;Óxido de Tenesino (II)
231;Ts;Tenesino;Óxido ;;Tenésico;Óxido Tenésico;117;3;7;Metal;Actínidos;???;1,2,3;3;231;3;3;III;Óxido de ;Óxido de Tenesino (III)
232;Og;Oganesón;----;----;----;;118;3;7;Gas Noble;-;Gas;0;1;232;1;0;----;----;----
