"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
1;"H";"Hydrogen";1;1;1;"Non-metal";"Other Non-Metals";"Gas";"1";1;1;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"H2O1";"Óxido de Hidrógeno";"Óxido de Hidrógeno (I)";"Di";"Mono";"DiÓxido de MonoHydrogen";"Dióxido de Monohydrogen"
2;"He";"Helium";2;18;1;"Noble gas";"-";"Gas";"0";1;2;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
3;"Li";"Lithium";3;1;2;"Metal";"Alkaline";"Solid";"1";1;3;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Li2O1";"Óxido de Litio";"Óxido de Litio (I)";"Di";"Mono";"DiÓxido de MonoLithium";"Dióxido de Monolithium"
4;"Be";"Beryllium";4;2;2;"Metal";"Alkaline earths";"Solid";"2";1;4;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Be1O1";"Óxido de Berilio";"Óxido de Berilio (II)";"Mono";"Mono";"MonÓxido de MonoBeryllium";"Monóxido de Monoberyllium"
5;"B";"Boron";5;13;2;"Metalloid";"-";"Solid";"3";1;5;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"B2O3";"Óxido de Boro";"Óxido de Boro (III)";"Di";"Tri";"DiÓxido de TriBoron";"Dióxido de Triboron"
6;"C";"Carbon";6;14;2;"Non-metal";"Other Non-Metals";"Solid";"2,4";2;6;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O1";"Óxido Carbonoso";"Óxido de Carbón (II)";"Mono";"Mono";"MonÓxido de MonoCarbon";"Monóxido de Monocarbon"
7;"C";"Carbon";6;14;2;"Non-metal";"Other Non-Metals";"Solid";"2,4";2;7;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O2";"Óxido Carbónico";"Óxido de Carbón (IV)";"Mono";"Di";"MonÓxido de DiCarbon";"Monóxido de Dicarbon"
8;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;8;1;"2";"II";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O1";"Óxido Hiponitrogenoso";"Óxido de Nitrógeno (II)";"Mono";"Mono";"MonÓxido de MonoNitrogen";"Monóxido de Mononitrogen"
9;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;9;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N2O3";"Óxido Nitrogenoso";"Óxido de Nitrógeno (III)";"Di";"Tri";"DiÓxido de TriNitrogen";"Dióxido de Trinitrogen"
10;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;10;3;"4";"IV";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O2";"Óxido Nítrico";"Óxido de Nitrógeno (IV)";"Mono";"Di";"MonÓxido de DiNitrogen";"Monóxido de Dinitrogen"
11;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;11;4;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N2O5";"Óxido Pernítrico";"Óxido de Nitrógeno (V)";"Di";"Penta";"DiÓxido de PentaNitrogen";"Dióxido de Pentanitrogen"
12;"O";"Oxygen";8;16;2;"Non-metal";"Other Non-Metals";"Gas";"2";1;12;1;"2";"II";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"Óxido de Oxígeno (II)";"----";"----";"----";"----"
13;"F";"Fluorine";9;17;2;"Non-metal";"Halogens";"Gas";"1";1;13;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"F2O1";"Óxido de Flúor";"Óxido de Flúor (I)";"Di";"Mono";"DiÓxido de MonoFluorine";"Dióxido de Monofluorine"
14;"Ne";"Neon";10;18;2;"Noble gas";"-";"Gas";"0";1;14;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
15;"Na";"Sodium";11;1;3;"Metal";"Alkaline";"Solid";"1";1;15;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Na2O1";"Óxido de Sodio";"Óxido de Sodio (I)";"Di";"Mono";"DiÓxido de MonoSodium";"Dióxido de Monosodium"
16;"Mg";"Magnesium";12;2;3;"Metal";"Alkaline earths";"Solid";"2";1;16;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mg1O1";"Óxido de Magnesio";"Óxido de Magnesio (II)";"Mono";"Mono";"MonÓxido de MonoMagnesium";"Monóxido de Monomagnesium"
17;"Al";"Aluminum";13;13;3;"Metal";"Metals from Block p";"Solid";"3";1;17;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Al2O3";"Óxido de Aluminio";"Óxido de Aluminio (III)";"Di";"Tri";"DiÓxido de TriAluminum";"Dióxido de Trialuminum"
18;"Si";"Silicon";14;14;3;"Metalloid";"-";"Solid";"4";1;18;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Si1O2";"Óxido de Silicio";"Óxido de Silicio (IV)";"Mono";"Di";"MonÓxido de DiSilicon";"Monóxido de Disilicon"
19;"P";"Match";15;15;3;"Non-metal";"Other Non-Metals";"Solid";"3,4,5";3;19;1;"3";"III";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O3";"Óxido Hipofosforoso";"Óxido de Fósforo (III)";"Di";"Tri";"DiÓxido de TriMatch";"Dióxido de Trimatch"
20;"P";"Match";15;15;3;"Non-metal";"Other Non-Metals";"Solid";"3,4,5";3;20;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P1O2";"Óxido Fosforoso";"Óxido de Fósforo (IV)";"Mono";"Di";"MonÓxido de DiMatch";"Monóxido de Dimatch"
21;"P";"Match";15;15;3;"Non-metal";"Other Non-Metals";"Solid";"3,4,5";3;21;3;"5";"V";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O5";"Óxido Fosfórico";"Óxido de Fósforo (V)";"Di";"Penta";"DiÓxido de PentaMatch";"Dióxido de Pentamatch"
22;"S";"Sulfur";16;16;3;"Non-metal";"Other Non-Metals";"Solid";"2,4,6";3;22;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O1";"Óxido Hiposulfuroso";"Óxido de Azufre (II)";"Mono";"Mono";"MonÓxido de MonoSulfur";"Monóxido de Monosulfur"
23;"S";"Sulfur";16;16;3;"Non-metal";"Other Non-Metals";"Solid";"2,4,6";3;23;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O2";"Óxido Sulfuroso";"Óxido de Azufre (IV)";"Mono";"Di";"MonÓxido de DiSulfur";"Monóxido de Disulfur"
24;"S";"Sulfur";16;16;3;"Non-metal";"Other Non-Metals";"Solid";"2,4,6";3;24;3;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O3";"Óxido Sulfúrico";"Óxido de Azufre (VI)";"Mono";"Tri";"MonÓxido de TriSulfur";"Monóxido de Trisulfur"
25;"Cl";"Chlorine";17;17;3;"Non-metal";"Halogens";"Gas";"1,3,5,7";4;25;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O1";"Óxido Hipocloroso";"Óxido de Cloro (I)";"Di";"Mono";"DiÓxido de MonoChlorine";"Dióxido de Monochlorine"
26;"Cl";"Chlorine";17;17;3;"Non-metal";"Halogens";"Gas";"1,3,5,7";4;26;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O3";"Óxido Cloroso";"Óxido de Cloro (III)";"Di";"Tri";"DiÓxido de TriChlorine";"Dióxido de Trichlorine"
27;"Cl";"Chlorine";17;17;3;"Non-metal";"Halogens";"Gas";"1,3,5,7";4;27;3;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O5";"Óxido Clórico";"Óxido de Cloro (V)";"Di";"Penta";"DiÓxido de PentaChlorine";"Dióxido de Pentachlorine"
28;"Cl";"Chlorine";17;17;3;"Non-metal";"Halogens";"Gas";"1,3,5,7";4;28;4;"7";"VII";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O7";"Óxido Perclórico";"Óxido de Cloro (VII)";"Di";"Hepta";"DiÓxido de HeptaChlorine";"Dióxido de Heptachlorine"
29;"Ar";"Argon";18;18;3;"Noble gas";"-";"Gas";"0";1;29;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
30;"K";"Potassium";19;1;4;"Metal";"Alkaline";"Solid";"1";1;30;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"K2O1";"Óxido de Potasio";"Óxido de Potasio (I)";"Di";"Mono";"DiÓxido de MonoPotassium";"Dióxido de Monopotassium"
31;"Ca";"Calcium";20;2;4;"Metal";"Alkaline earths";"Solid";"2";1;31;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ca1O1";"Óxido de Calcio";"Óxido de Calcio (II)";"Mono";"Mono";"MonÓxido de MonoCalcium";"Monóxido de Monocalcium"
32;"Sc";"Scandium";21;3;4;"Metal";"Transition Metals";"Solid";"3";1;32;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sc2O3";"Óxido de Escandio";"Óxido de Escandio (III)";"Di";"Tri";"DiÓxido de TriScandium";"Dióxido de Triscandium"
33;"Ti";"Titanium";22;4;4;"Metal";"Transition Metals";"Solid";"3,4";2;33;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti2O3";"Óxido Titanoso";"Óxido de Titanio (III)";"Di";"Tri";"DiÓxido de TriTitanium";"Dióxido de Trititanium"
34;"Ti";"Titanium";22;4;4;"Metal";"Transition Metals";"Solid";"3,4";2;34;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti1O2";"Óxido Titánico";"Óxido de Titanio (IV)";"Mono";"Di";"MonÓxido de DiTitanium";"Monóxido de Dititanium"
35;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;35;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O1";"Óxido Hipovanadoso";"Óxido de Vanadio (II)";"Mono";"Mono";"MonÓxido de MonoVanadium";"Monóxido de Monovanadium"
36;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;36;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O3";"Óxido Vanadoso";"Óxido de Vanadio (III)";"Di";"Tri";"DiÓxido de TriVanadium";"Dióxido de Trivanadium"
37;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;37;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O2";"Óxido Vanádico";"Óxido de Vanadio (IV)";"Mono";"Di";"MonÓxido de DiVanadium";"Monóxido de Divanadium"
38;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;38;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O5";"Óxido Pervanádico";"Óxido de Vanadio (V)";"Di";"Penta";"DiÓxido de PentaVanadium";"Dióxido de Pentavanadium"
39;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;39;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O1";"Óxido Hipocromoso";"Óxido de Cromo (II)";"Mono";"Mono";"MonÓxido de MonoChrome";"Monóxido de Monochrome"
40;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;40;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr2O3";"Óxido Cromoso";"Óxido de Cromo (III)";"Di";"Tri";"DiÓxido de TriChrome";"Dióxido de Trichrome"
41;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;41;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O3";"Óxido Crómico";"Óxido de Cromo (VI)";"Mono";"Tri";"MonÓxido de TriChrome";"Monóxido de Trichrome"
42;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;42;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O1";"Óxido Hipomanganoso";"Óxido de Manganeso (II)";"Mono";"Mono";"MonÓxido de MonoManganese";"Monóxido de Monomanganese"
43;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;43;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O3";"Óxido Manganoso";"Óxido de Manganeso (III)";"Di";"Tri";"DiÓxido de TriManganese";"Dióxido de Trimanganese"
44;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;44;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O2";"Óxido Mangánico";"Óxido de Manganeso (IV)";"Mono";"Di";"MonÓxido de DiManganese";"Monóxido de Dimanganese"
45;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;45;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O3";"Óxido Permangánico";"Óxido de Manganeso (VI)";"Mono";"Tri";"MonÓxido de TriManganese";"Monóxido de Trimanganese"
46;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;46;5;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O7";"Óxido Supermangánico";"Óxido de Manganeso (VII)";"Di";"Hepta";"DiÓxido de HeptaManganese";"Dióxido de Heptamanganese"
47;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;47;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe1O1";"Óxido Ferroso";"Óxido de Hierro (II)";"Mono";"Mono";"MonÓxido de MonoIron";"Monóxido de Monoiron"
48;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;48;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe2O3";"Óxido Férrico";"Óxido de Hierro (III)";"Di";"Tri";"DiÓxido de TriIron";"Dióxido de Triiron"
49;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;49;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co1O1";"Óxido Cobaltoso";"Óxido de Cobalto (II)";"Mono";"Mono";"MonÓxido de MonoCobalt";"Monóxido de Monocobalt"
50;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;50;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co2O3";"Óxido Cobáltico";"Óxido de Cobalto (III)";"Di";"Tri";"DiÓxido de TriCobalt";"Dióxido de Tricobalt"
51;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;51;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni1O1";"Óxido Niqueloso";"Óxido de Níquel (II)";"Mono";"Mono";"MonÓxido de MonoNickel";"Monóxido de Mononickel"
52;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;52;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni2O3";"Óxido Niquélico";"Óxido de Níquel (III)";"Di";"Tri";"DiÓxido de TriNickel";"Dióxido de Trinickel"
53;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;53;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu2O1";"Óxido Cuproso";"Óxido de Cobre (I)";"Di";"Mono";"DiÓxido de MonoCopper";"Dióxido de Monocopper"
54;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;54;2;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu1O1";"Óxido Cúprico";"Óxido de Cobre (II)";"Mono";"Mono";"MonÓxido de MonoCopper";"Monóxido de Monocopper"
55;"Zn";"Zinc";30;12;4;"Metal";"Transition Metals";"Solid";"2";1;55;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zn1O1";"Óxido de Zinc";"Óxido de Zinc (II)";"Mono";"Mono";"MonÓxido de MonoZinc";"Monóxido de Monozinc"
56;"Ga";"Gallium";31;13;4;"Metal";"Metals from Block p";"Liquid";"3";1;56;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Ga2O3";"Óxido de Galio";"Óxido de Galio (III)";"Di";"Tri";"DiÓxido de TriGallium";"Dióxido de Trigallium"
57;"Ge";"Germanium";32;14;4;"Metalloid";"-";"Solid";"4";1;57;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ge1O2";"Óxido de Germanio";"Óxido de Germanio (IV)";"Mono";"Di";"MonÓxido de DiGermanium";"Monóxido de Digermanium"
