"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"OxydeFullName_Stock"
76;"Tc";"Tecnecio";43;7;5;"Metal";"Metales de transición";"Sólido";"7";1;76;1;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tc2O7";"Óxido de Tecnecio";"Óxido de Tecnecio (VII)";"Di";"Hepta";"DiÓxido de HeptaTecnecio"
77;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;77;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O1";"Óxido HipoRutenoso";"Óxido de Rutenio (II)";"Mono";"Mono";"MonoÓxido de MonoRutenio"
78;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;78;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru2O3";"Óxido Rutenoso";"Óxido de Rutenio (III)";"Di";"Tri";"DiÓxido de TriRutenio"
79;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;79;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O2";"Óxido Rutenoso";"Óxido de Rutenio (IV)";"Mono";"Di";"MonoÓxido de DiRutenio"
80;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;80;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O3";"Óxido PerRutenoso";"Óxido de Rutenio (VI)";"Mono";"Tri";"MonoÓxido de TriRutenio"
81;"Ru";"Rutenio";44;8;5;"Metal";"Metales de transición";"Sólido";"2,3,4,6,8";5;81;5;"8";"VIII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O4";"Óxido SuperRutenoso";"Óxido de Rutenio (VIII)";"Mono";"Tetra";"MonoÓxido de TetraRutenio"
82;"Rh";"Rodio";45;9;5;"Metal";"Metales de transición";"Sólido";"2,3,4";3;82;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O1";"Óxido HipoRodoso";"Óxido de Rodio (II)";"Mono";"Mono";"MonoÓxido de MonoRodio"
83;"Rh";"Rodio";45;9;5;"Metal";"Metales de transición";"Sólido";"2,3,4";3;83;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh2O3";"Óxido Rodoso";"Óxido de Rodio (III)";"Di";"Tri";"DiÓxido de TriRodio"
84;"Rh";"Rodio";45;9;5;"Metal";"Metales de transición";"Sólido";"2,3,4";3;84;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O2";"Óxido Ródico";"Óxido de Rodio (IV)";"Mono";"Di";"MonoÓxido de DiRodio"
85;"Pd";"Paladio";46;10;5;"Metal";"Metales de transición";"Sólido";"2,4";2;85;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O1";"Óxido Paladoso";"Óxido de Paladio (II)";"Mono";"Mono";"MonoÓxido de MonoPaladio"
86;"Pd";"Paladio";46;10;5;"Metal";"Metales de transición";"Sólido";"2,4";2;86;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O2";"Óxido Paládico";"Óxido de Paladio (IV)";"Mono";"Di";"MonoÓxido de DiPaladio"
87;"Ag";"Plata";47;11;5;"Metal";"Metales de transición";"Sólido";"1";1;87;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ag2O1";"Óxido de Plata";"Óxido de Plata (I)";"Di";"Mono";"DiÓxido de MonoPlata"
88;"Cd";"Cadmio";48;12;5;"Metal";"Metales de transición";"Sólido";"2";1;88;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cd1O1";"Óxido de Cadmio";"Óxido de Cadmio (II)";"Mono";"Mono";"MonoÓxido de MonoCadmio"
89;"In";"Indio";49;13;5;"Metal";"Metales del Bloque p";"Sólido";"3";1;89;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"In2O3";"Óxido de Indio";"Óxido de Indio (III)";"Di";"Tri";"DiÓxido de TriIndio"
90;"Sn";"Estaño";50;14;5;"Metal";"Metales del Bloque p";"Sólido";"2,4";2;90;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sn1O1";"Óxido Estañoso";"Óxido de Estaño (II)";"Mono";"Mono";"MonoÓxido de MonoEstaño"
91;"Sn";"Estaño";50;14;5;"Metal";"Metales del Bloque p";"Sólido";"2,4";2;91;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sn1O2";"Óxido Estáñico";"Óxido de Estaño (IV)";"Mono";"Di";"MonoÓxido de DiEstaño"
92;"Sb";"Antimonio";51;15;5;"Metaloide";"-";"Sólido";"3,5";2;92;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sb2O3";"Óxido Antimonoso";"Óxido de Antimonio (III)";"Di";"Tri";"DiÓxido de TriAntimonio"
93;"Sb";"Antimonio";51;15;5;"Metaloide";"-";"Sólido";"3,5";2;93;2;"5";"V";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sb2O5";"Óxido Antimónico";"Óxido de Antimonio (V)";"Di";"Penta";"DiÓxido de PentaAntimonio"
94;"Te";"Telurio";52;16;5;"Metaloide";"-";"Sólido";"2,4,6";3;94;1;"2";"II";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O1";"Óxido HipoTeluroso";"Óxido de Telurio (II)";"Mono";"Mono";"MonoÓxido de MonoTelurio"
95;"Te";"Telurio";52;16;5;"Metaloide";"-";"Sólido";"2,4,6";3;95;2;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O2";"Óxido Teluroso";"Óxido de Telurio (IV)";"Mono";"Di";"MonoÓxido de DiTelurio"
96;"Te";"Telurio";52;16;5;"Metaloide";"-";"Sólido";"2,4,6";3;96;3;"6";"VI";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O3";"Óxido Telúrico";"Óxido de Telurio (VI)";"Mono";"Tri";"MonoÓxido de TriTelurio"
97;"I";"Yodo";53;17;5;"No Metal";"Halógenos";"Sólido";"1,5,7";3;97;1;"1";"I";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O1";"Óxido HipoYodoso";"Óxido de Yodo (I)";"Di";"Mono";"DiÓxido de MonoYodo"
98;"I";"Yodo";53;17;5;"No Metal";"Halógenos";"Sólido";"1,5,7";3;98;2;"5";"V";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O5";"Óxido Yodoso";"Óxido de Yodo (V)";"Di";"Penta";"DiÓxido de PentaYodo"
99;"I";"Yodo";53;17;5;"No Metal";"Halógenos";"Sólido";"1,5,7";3;99;3;"7";"VII";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O7";"Óxido Yódico";"Óxido de Yodo (VII)";"Di";"Hepta";"DiÓxido de HeptaYodo"
100;"Xe";"Xenón";54;18;5;"Gas Noble";"-";"Gas";"0";1;100;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----"
101;"Cs";"Cesio";55;1;6;"Metal";"Alcalino";"Líquido";"1";1;101;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Cs2O1";"Óxido de Cesio";"Óxido de Cesio (I)";"Di";"Mono";"DiÓxido de MonoCesio"
102;"Ba";"Bario";56;2;6;"Metal";"Tierras alcalinas";"Sólido";"2";1;102;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ba1O1";"Óxido de Bario";"Óxido de Bario (II)";"Mono";"Mono";"MonoÓxido de MonoBario"
103;"La";"Lantano";57;3;6;"Metal";"Lantánidos";"Sólido";"3";1;103;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"La2O3";"Óxido de Lantano";"Óxido de Lantano (III)";"Di";"Tri";"DiÓxido de TriLantano"
104;"Ce";"Cerio";58;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;104;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ce2O3";"Óxido Ceroso";"Óxido de Cerio (III)";"Di";"Tri";"DiÓxido de TriCerio"
105;"Ce";"Cerio";58;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;105;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ce1O2";"Óxido Cérico";"Óxido de Cerio (IV)";"Mono";"Di";"MonoÓxido de DiCerio"
106;"Pr";"Praseodimio";59;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;106;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pr2O3";"Óxido Praseodimoso";"Óxido de Praseodimio (III)";"Di";"Tri";"DiÓxido de TriPraseodimio"
107;"Pr";"Praseodimio";59;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;107;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pr1O2";"Óxido Praseodímico";"Óxido de Praseodimio (IV)";"Mono";"Di";"MonoÓxido de DiPraseodimio"
108;"Nd";"Neodimio";60;3;6;"Metal";"Lantánidos";"Sólido";"3";1;108;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nd2O3";"Óxido de Neodimio";"Óxido de Neodimio (III)";"Di";"Tri";"DiÓxido de TriNeodimio"
109;"Pm";"Promesa";61;3;6;"Metal";"Lantánidos";"Sólido";"3";1;109;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pm2O3";"Óxido de Promesa";"Óxido de Promesa (III)";"Di";"Tri";"DiÓxido de TriPromesa"
110;"Sm";"Samario";62;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;110;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sm1O1";"Óxido Samaroso";"Óxido de Samario (II)";"Mono";"Mono";"MonoÓxido de MonoSamario"
111;"Sm";"Samario";62;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;111;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sm2O3";"Óxido Samárico";"Óxido de Samario (III)";"Di";"Tri";"DiÓxido de TriSamario"
112;"Eu";"Europio";63;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;112;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Eu1O1";"Óxido Europoso";"Óxido de Europio (II)";"Mono";"Mono";"MonoÓxido de MonoEuropio"
113;"Eu";"Europio";63;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;113;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Eu2O3";"Óxido Európico";"Óxido de Europio (III)";"Di";"Tri";"DiÓxido de TriEuropio"
114;"Gd";"Gadolinio";64;3;6;"Metal";"Lantánidos";"Sólido";"3";1;114;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Gd2O3";"Óxido de Gadolinio";"Óxido de Gadolinio (III)";"Di";"Tri";"DiÓxido de TriGadolinio"
115;"Tb";"Terbio";65;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;115;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tb2O3";"Óxido Terboso";"Óxido de Terbio (III)";"Di";"Tri";"DiÓxido de TriTerbio"
116;"Tb";"Terbio";65;3;6;"Metal";"Lantánidos";"Sólido";"3,4";2;116;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tb1O2";"Óxido Térbico";"Óxido de Terbio (IV)";"Mono";"Di";"MonoÓxido de DiTerbio"
117;"Dy";"Disprosio";66;3;6;"Metal";"Lantánidos";"Sólido";"3";1;117;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Dy2O3";"Óxido de Disprosio";"Óxido de Disprosio (III)";"Di";"Tri";"DiÓxido de TriDisprosio"
118;"Ho";"Holmio";67;3;6;"Metal";"Lantánidos";"Sólido";"3";1;118;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ho2O3";"Óxido de Holmio";"Óxido de Holmio (III)";"Di";"Tri";"DiÓxido de TriHolmio"
119;"Er";"Erbio";68;3;6;"Metal";"Lantánidos";"Sólido";"3";1;119;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Er2O3";"Óxido de Erbio";"Óxido de Erbio (III)";"Di";"Tri";"DiÓxido de TriErbio"
120;"Tm";"Tulio";69;3;6;"Metal";"Lantánidos";"Sólido";"3,2";2;120;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tm2O3";"Óxido Tuloso";"Óxido de Tulio (III)";"Di";"Tri";"DiÓxido de TriTulio"
121;"Tm";"Tulio";69;3;6;"Metal";"Lantánidos";"Sólido";"3,2";2;121;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tm1O1";"Óxido Túlico";"Óxido de Tulio (II)";"Mono";"Mono";"MonoÓxido de MonoTulio"
122;"Yb";"Iterbio";70;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;122;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Yb1O1";"Óxido Iterboso";"Óxido de Iterbio (II)";"Mono";"Mono";"MonoÓxido de MonoIterbio"
123;"Yb";"Iterbio";70;3;6;"Metal";"Lantánidos";"Sólido";"2,3";2;123;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Yb2O3";"Óxido Itérbico";"Óxido de Iterbio (III)";"Di";"Tri";"DiÓxido de TriIterbio"
124;"Lu";"Lutecio";71;3;6;"Metal";"Lantánidos";"Sólido";"3";1;124;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Lu2O3";"Óxido de Lutecio";"Óxido de Lutecio (III)";"Di";"Tri";"DiÓxido de TriLutecio"
125;"Hf";"Hafnio";72;4;6;"Metal";"Lantánidos";"Sólido";"4";1;125;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Hf1O2";"Óxido de Hafnio";"Óxido de Hafnio (IV)";"Mono";"Di";"MonoÓxido de DiHafnio"
126;"Ta";"Tantalio";73;5;6;"Metal";"Lantánidos";"Sólido";"5";1;126;1;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ta2O5";"Óxido de Tantalio";"Óxido de Tantalio (V)";"Di";"Penta";"DiÓxido de PentaTantalio"
127;"W";"Tungsteno";74;6;6;"Metal";"Lantánidos";"Sólido";"2,3,4,5,6";5;127;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O1";"Óxido HipoTungstoso";"Óxido de Tungsteno (II)";"Mono";"Mono";"MonoÓxido de MonoTungsteno"
128;"W";"Tungsteno";74;6;6;"Metal";"Lantánidos";"Sólido";"2,3,4,5,6";5;128;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W2O3";"Óxido Tungstoso";"Óxido de Tungsteno (III)";"Di";"Tri";"DiÓxido de TriTungsteno"
129;"W";"Tungsteno";74;6;6;"Metal";"Lantánidos";"Sólido";"2,3,4,5,6";5;129;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O2";"Óxido Tungsténico";"Óxido de Tungsteno (IV)";"Mono";"Di";"MonoÓxido de DiTungsteno"
130;"W";"Tungsteno";74;6;6;"Metal";"Lantánidos";"Sólido";"2,3,4,5,6";5;130;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W2O5";"Óxido PerTungsténico";"Óxido de Tungsteno (V)";"Di";"Penta";"DiÓxido de PentaTungsteno"
131;"W";"Tungsteno";74;6;6;"Metal";"Lantánidos";"Sólido";"2,3,4,5,6";5;131;5;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O3";"Óxido SuperTungsténico";"Óxido de Tungsteno (VI)";"Mono";"Tri";"MonoÓxido de TriTungsteno"
132;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1,2,4,6,7";5;132;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re2O1";"Óxido HipoRenoso";"Óxido de Renio (I)";"Di";"Mono";"DiÓxido de MonoRenio"
133;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1,2,4,6,7";5;133;2;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O1";"Óxido Renoso";"Óxido de Renio (II)";"Mono";"Mono";"MonoÓxido de MonoRenio"
134;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1,2,4,6,7";5;134;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O2";"Óxido Renico";"Óxido de Renio (IV)";"Mono";"Di";"MonoÓxido de DiRenio"
135;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1,2,4,6,7";5;135;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O3";"Óxido PerRenico";"Óxido de Renio (VI)";"Mono";"Tri";"MonoÓxido de TriRenio"
136;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1,2,4,6,7";5;136;5;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re2O7";"Óxido SuperRenico";"Óxido de Renio (VII)";"Di";"Hepta";"DiÓxido de HeptaRenio"
137;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6,8";5;137;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O1";"Óxido HipoOsmoso";"Óxido de Osmio (II)";"Mono";"Mono";"MonoÓxido de MonoOsmio"
138;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6,8";5;138;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os2O3";"Óxido Osmoso";"Óxido de Osmio (III)";"Di";"Tri";"DiÓxido de TriOsmio"
139;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6,8";5;139;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O2";"Óxido Ósmico";"Óxido de Osmio (IV)";"Mono";"Di";"MonoÓxido de DiOsmio"
140;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6,8";5;140;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O3";"Óxido PerÓsmico";"Óxido de Osmio (VI)";"Mono";"Tri";"MonoÓxido de TriOsmio"
141;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6,8";5;141;5;"8";"VIII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O4";"Óxido SuperÓsmico";"Óxido de Osmio (VIII)";"Mono";"Tetra";"MonoÓxido de TetraOsmio"
142;"Ir";"Iridio";77;9;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6";4;142;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O1";"Óxido HipoIridoso";"Óxido de Iridio (II)";"Mono";"Mono";"MonoÓxido de MonoIridio"
143;"Ir";"Iridio";77;9;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6";4;143;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir2O3";"Óxido Iridoso";"Óxido de Iridio (III)";"Di";"Tri";"DiÓxido de TriIridio"
144;"Ir";"Iridio";77;9;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6";4;144;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O2";"Óxido Irídico";"Óxido de Iridio (IV)";"Mono";"Di";"MonoÓxido de DiIridio"
145;"Ir";"Iridio";77;9;6;"Metal";"Lantánidos";"Sólido";"2,3,4,6";4;145;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O3";"Óxido PerIrídico";"Óxido de Iridio (VI)";"Mono";"Tri";"MonoÓxido de TriIridio"
146;"Pt";"Platino";78;10;6;"Metal";"Lantánidos";"Sólido";"2,4";2;146;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pt1O1";"Óxido Platinoso";"Óxido de Platino (II)";"Mono";"Mono";"MonoÓxido de MonoPlatino"
147;"Pt";"Platino";78;10;6;"Metal";"Lantánidos";"Sólido";"2,4";2;147;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pt1O2";"Óxido Platínico";"Óxido de Platino (IV)";"Mono";"Di";"MonoÓxido de DiPlatino"
148;"Au";"Oro";79;11;6;"Metal";"Lantánidos";"Sólido";"1,3";2;148;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Au2O1";"Óxido Auroso";"Óxido de Oro (I)";"Di";"Mono";"DiÓxido de MonoOro"
149;"Au";"Oro";79;11;6;"Metal";"Lantánidos";"Sólido";"1,3";2;149;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Au2O3";"Óxido Áurico";"Óxido de Oro (III)";"Di";"Tri";"DiÓxido de TriOro"
150;"Hg";"Mercurio";80;12;6;"Metal";"Lantánidos";"Líquido";"1,2";2;150;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Hg2O1";"Óxido Mercuroso";"Óxido de Mercurio (I)";"Di";"Mono";"DiÓxido de MonoMercurio"
151;"Hg";"Mercurio";80;12;6;"Metal";"Lantánidos";"Líquido";"1,2";2;151;2;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Hg1O1";"Óxido Mercúrico";"Óxido de Mercurio (II)";"Mono";"Mono";"MonoÓxido de MonoMercurio"
152;"Tl";"Talio";81;13;6;"Metal";"Lantánidos";"Sólido";"1,3";2;152;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tl2O1";"Óxido Taloso";"Óxido de Talio (I)";"Di";"Mono";"DiÓxido de MonoTalio"
153;"Tl";"Talio";81;13;6;"Metal";"Lantánidos";"Sólido";"1,3";2;153;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tl2O3";"Óxido Tálico";"Óxido de Talio (III)";"Di";"Tri";"DiÓxido de TriTalio"
